name,nameLastChangedAt,gameID,gameIDLastChangedAt,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,stageIndex,stageIndexLastChangedAt,index,indexLastChangedAt,start,startLastChangedAt
Round 1,2023-10-09T00:25:50.346759-04:00,01HC8V20TCQGSCZEVBJJ98TEXG,2023-10-09T00:25:50.346759-04:00,01HC8TG2ZB0YJEM2KER9QKP6YP,2023-10-09T00:25:50.346759-04:00,false,2023-10-09T00:25:50.346759-04:00,2,2023-10-09T00:25:50.445629-04:00,0,2023-10-09T00:25:50.346759-04:00,false,2023-10-09T00:25:50.346759-04:00
Round 2,2023-10-09T00:25:50.347455-04:00,01HC8V20TCQGSCZEVBJJ98TEXG,2023-10-09T00:25:50.347455-04:00,01HC8TG2ZB0YJEM2KER9QKP6YP,2023-10-09T00:25:50.347455-04:00,false,2023-10-09T00:25:50.347455-04:00,2,2023-10-09T00:25:50.450222-04:00,1,2023-10-09T00:25:50.347455-04:00,false,2023-10-09T00:25:50.347455-04:00
Round 3,2023-10-09T00:25:50.348294-04:00,01HC8V20TCQGSCZEVBJJ98TEXG,2023-10-09T00:25:50.348294-04:00,01HC8TG2ZB0YJEM2KER9QKP6YP,2023-10-09T00:25:50.348294-04:00,false,2023-10-09T00:25:50.348294-04:00,2,2023-10-09T00:25:50.45741-04:00,2,2023-10-09T00:25:50.348294-04:00,false,2023-10-09T00:25:50.348294-04:00
Round 4,2023-10-09T00:25:50.349288-04:00,01HC8V20TCQGSCZEVBJJ98TEXG,2023-10-09T00:25:50.349288-04:00,01HC8TG2ZB0YJEM2KER9QKP6YP,2023-10-09T00:25:50.349288-04:00,false,2023-10-09T00:25:50.349288-04:00,2,2023-10-09T00:25:50.461417-04:00,3,2023-10-09T00:25:50.349288-04:00,false,2023-10-09T00:25:50.349288-04:00
Round 5,2023-10-09T00:25:50.35009-04:00,01HC8V20TCQGSCZEVBJJ98TEXG,2023-10-09T00:25:50.35009-04:00,01HC8TG2ZB0YJEM2KER9QKP6YP,2023-10-09T00:25:50.35009-04:00,false,2023-10-09T00:25:50.35009-04:00,2,2023-10-09T00:25:50.466959-04:00,4,2023-10-09T00:25:50.35009-04:00,false,2023-10-09T00:25:50.35009-04:00
Round 6,2023-10-09T00:25:50.350873-04:00,01HC8V20TCQGSCZEVBJJ98TEXG,2023-10-09T00:25:50.350873-04:00,01HC8TG2ZB0YJEM2KER9QKP6YP,2023-10-09T00:25:50.350873-04:00,false,2023-10-09T00:25:50.350873-04:00,2,2023-10-09T00:25:50.470752-04:00,5,2023-10-09T00:25:50.350873-04:00,false,2023-10-09T00:25:50.350873-04:00
Round 7,2023-10-09T00:25:50.351755-04:00,01HC8V20TCQGSCZEVBJJ98TEXG,2023-10-09T00:25:50.351755-04:00,01HC8TG2ZB0YJEM2KER9QKP6YP,2023-10-09T00:25:50.351755-04:00,false,2023-10-09T00:25:50.351755-04:00,2,2023-10-09T00:25:50.475972-04:00,6,2023-10-09T00:25:50.351755-04:00,false,2023-10-09T00:25:50.351755-04:00
Round 8,2023-10-09T00:25:50.353917-04:00,01HC8V20TCQGSCZEVBJJ98TEXG,2023-10-09T00:25:50.353917-04:00,01HC8TG2ZB0YJEM2KER9QKP6YP,2023-10-09T00:25:50.353917-04:00,false,2023-10-09T00:25:50.353917-04:00,2,2023-10-09T00:25:50.475972-04:00,7,2023-10-09T00:25:50.353917-04:00,false,2023-10-09T00:25:50.353917-04:00
Round 9,2023-10-09T00:25:50.354419-04:00,01HC8V20TCQGSCZEVBJJ98TEXG,2023-10-09T00:25:50.354419-04:00,01HC8TG2ZB0YJEM2KER9QKP6YP,2023-10-09T00:25:50.354419-04:00,false,2023-10-09T00:25:50.354419-04:00,2,2023-10-09T00:25:50.478329-04:00,8,2023-10-09T00:25:50.354419-04:00,false,2023-10-09T00:25:50.354419-04:00
Round 10,2023-10-09T00:25:50.356541-04:00,01HC8V20TCQGSCZEVBJJ98TEXG,2023-10-09T00:25:50.356541-04:00,01HC8TG2ZB0YJEM2KER9QKP6YP,2023-10-09T00:25:50.356541-04:00,false,2023-10-09T00:25:50.356541-04:00,2,2023-10-09T00:25:50.482452-04:00,9,2023-10-09T00:25:50.356541-04:00,false,2023-10-09T00:25:50.356541-04:00
